uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
18-4-2023;22,97806331;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-4-2023;23,03055789;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-4-2023;23,08317239;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-4-2023;23,13590709;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-4-2023;23,18876227;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-4-2023;23,24173819;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-4-2023;23,29483515;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-4-2023;23,3480534;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-4-2023;23,40139324;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-4-2023;23,45485493;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-4-2023;23,50843876;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-4-2023;23,56214501;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-4-2023;23,61597395;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-5-2023;23,66992586;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-5-2023;23,72400103;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-5-2023;23,77819974;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-5-2023;23,83252226;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-5-2023;23,88696889;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-5-2023;23,94153991;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-5-2023;23,9962356;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-5-2023;24,05105624;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-5-2023;24,10600212;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-5-2023;24,16107353;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-5-2023;24,21627075;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-5-2023;24,27159408;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-5-2023;24,32704379;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-5-2023;24,38262018;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-5-2023;24,43832354;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-5-2023;24,49415415;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-5-2023;24,55011231;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-5-2023;24,60619831;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-5-2023;24,66241245;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-5-2023;24,718755;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-5-2023;24,77522628;;;;;;;;;;;;;;;;;;;;;;;;;;;
